,1 and 40 - frame 0,1 and 40 - frame 1,1 and 40 - frame 2,1 and 40 - frame 3,1 and 40 - frame 4
molecule 112,-0.4691424214019815,-0.44845199223025045,-0.4230139425258719,-0.4218286789739094,-0.43354233156197297
molecule 113,0.03765001720709748,0.042289340141247855,0.043694082653884,0.04185736772384543,0.03883344089623158
molecule 114,1.2064224747675254,0.9435757873416203,0.8026541706627199,0.705163642935528,0.6655811604370705
molecule 115,-0.018737888735649275,-0.022130639953421655,-0.038044576531377654,-0.04190929334772308,-0.02458883554322706
molecule 116,0.06862204873993138,0.05813955115613871,0.05286249754299266,0.057848950557058465,0.06283784027931213
molecule 117,-4.8027286436720615,-4.641324043904762,-4.574163628899648,-4.610986970380343,-4.59717750934594
molecule 118,0.0314486317456898,0.02850348407614112,0.027737223725905064,0.03279666913499078,0.037530969763279604
molecule 119,-0.029743318175368034,-0.030235614832111037,-0.03014723797401556,-0.03084971951771833,-0.031713689798669606
molecule 120,-0.058698743735796304,-0.059277545595497506,-0.0611310935459531,-0.06211483476607098,-0.06119449947483452
molecule 121,2.0862673981527338,2.108100929571047,2.159589526434527,2.165901854669088,2.1043563083517722
molecule 122,-0.027532989712999636,-0.027470408613632445,-0.02880630390847892,-0.0318850786471564,-0.035042842490287614
molecule 123,0.4858382160569894,0.4762921661188433,0.48659441763068123,0.45602540161733807,0.3730740309281033
molecule 124,-0.03201520165513724,-0.03098638837663426,-0.03180087186943374,-0.03276077234272959,-0.0317931995360779
molecule 125,4.047672129912869,4.257564978337445,4.486588048798086,4.723232332791486,4.908354451982993
molecule 126,-0.02497566294655341,-0.024721524277314808,-0.025598249860131202,-0.02633791640793825,-0.025744819253621178
molecule 127,-0.3995132410812838,-0.35707529968947405,-0.35075132379028473,-0.347860693130141,-0.32944548347516805
molecule 128,-0.02636632154329352,-0.026273135559367843,-0.02832371986779045,-0.02933959642331638,-0.028178187311958827
molecule 129,-0.09434614838316766,-0.08964905146262005,-0.08987496090145221,-0.09083887082709764,-0.08824588892297322
molecule 130,-0.026231956052748584,-0.02439582929026669,-0.022046648944455852,-0.02228385543234964,-0.02484362670301643
molecule 131,0.2755562156578802,0.2789053410288033,0.29526022596474705,0.3136923761205186,0.3166804105949267
molecule 132,0.0409256887106508,0.047403438643131325,0.04567477139929798,0.039758327940511394,0.04250004073724202
molecule 133,0.3470816042471916,0.3795476535350461,0.41559410082239345,0.408185190385472,0.3553843013653156
molecule 134,1.0832239996385093,1.0617345062634866,0.9933016267836926,0.9636886175541473,0.9866086476916982
molecule 135,-0.04817994124009935,-0.0448882972141226,-0.04121137502704362,-0.03812727693672625,-0.03507146450935989
molecule 136,-0.02959185054845591,-0.02922673038479706,-0.028528052432088415,-0.02768518921945431,-0.027208934611353812
molecule 137,-0.02778038716288976,-0.0284137806015764,-0.026619162444520582,-0.030174120020879578,-0.03597691348665456
molecule 138,0.14627859825684666,0.1490198767549052,0.16233904882044897,0.16941193799691157,0.16104004137599823
molecule 139,0.47130697566749585,0.471987889344054,0.46267866928371915,0.46120115666364714,0.4900840066092511
